C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,AT (K),Ms (K)
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,993,508.03
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,983,477.93
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,973,445.44
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,963,410.54
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,953,373.18
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1743,690.9
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1733,699.43
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1723,707.72
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1713,714.12
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1703,714.15
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1693,714.18
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1683,714.2
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1673,714.22
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1663,714.24
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1653,714.26
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1643,714.27
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1633,714.29
0.04,0.1,2,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1623,714.3
