C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,TAUST (K),Ms (K)
0.19,0.37,1.44,0.08,0.1,0.01,0.17,0.2,0,0.03,0,0,0.01,0,0.01,0.01,1173,673
0.2,0.3,1.45,0.1,0.11,0.02,0.08,0.14,0,0.01,0,0,0.01,0,0.01,0.01,1173,673
0.2,0.34,1.46,0.1,0.12,0.02,0.14,0.19,0,0.03,0,0,0.012,0,0.01,0.01,1173,673
0.06,0.37,1.97,0,0,0,0.45,0,0,0.029,0,0,0.009,0,0.01,0.01,1373,715
0.06,0.37,2,0,0,0,0.45,0,0,0.029,0,0,0.009,0,0.01,0.01,1423,725
0.07,0.24,1.9,0,0,0.08,0.43,0,0,0.06,0,0,0.009,0,0.01,0.01,1423,683
0.05,0.39,1.82,0,0,0,0.06,0,0,0.011,0,0,0.011,0,0.01,0.01,1223,693
0.06,0.25,1.21,0.31,0,0,0.07,0.3,0,0.041,0,0.043,0.003,0,0.01,0.01,1203,693
0.06,0.25,1.69,0.31,0,0,0.08,0.3,0,0.04,0,0.043,0.003,0,0.01,0.01,1323,761
0.06,0.38,2.33,0.01,0.4,0.01,0.08,0.01,0,0.035,0,0.048,0,0,0.01,0.01,1173,781
0.07,0.29,1.35,0,0,0,0.08,0,0,0.036,0,0.025,0.006,0,0.01,0.01,1373,731
0.08,0.37,1.52,0.1,0.21,0,0.1,0.34,0,0.02,0,0.05,0.008,0,0.01,0.01,1373,757
0.1,0.35,1.53,0,0,0.01,0.07,0,0,0.045,0,0.05,0.007,0,0.01,0.01,1273,744
0.1,0.36,1.48,0,0,0,0.019,0,0,0.046,0.003,0.023,0,0,0.01,0.01,1623,755
0.11,0.3,1.6,0,0,0,0.09,0,0,0.021,0.003,0.032,0.002,0,0.01,0.01,1223,699
0.06,0.26,0.82,0,0,0.25,0.08,0,0,0.04,0,0.04,0.003,0,0.01,0.01,1203,819
