Fe,Co,Ni,Al,Si,Cr,Nb,Mo,Ti,Cu,Mn,Zr,V,C,T,"phase (SS=0, SS+IM=1)"
0,0,0,21.7,0,25,18.7,0,17.8,0,0,0,16.8,0,800,0
0,0,0,27.6,0,0,24.1,0,24.8,0,0,0,23.5,0,1000,1
0,0,0,25.6,0,10.2,22.2,0,21.4,0,0,0,20.6,0,1000,1
0,0,0,22.9,0,18.8,20.2,0,19.3,0,0,0,18.8,0,1000,1
0,0,0,21.7,0,25,18.7,0,17.8,0,0,0,16.8,0,1000,1
0,0,0,5.4,0,0,25.5,25,22,0,0,0,22.1,0,25,0
0,0,0,9.8,0,0,24.3,25.6,19.9,0,0,0,20.4,0,25,0
0,0,0,14.2,0,0,22.5,22.2,20.7,0,0,0,20.5,0,25,0
0,0,0,17.6,0,0,21.9,24.6,16.9,0,0,0,19,0,25,0
0,0,0,27.7,0,0,18.2,20.4,16,0,0,0,17.8,0,25,0
0,0,0,25,0,0,25,0,25,0,0,0,25,0,25,0
0,0,0,25,0,0,25,0,25,0,0,0,25,0,1000,0
0,0,0,0,0,0,28,0,24.5,0,0,24.2,23.3,0,25,0
0,0,0,0,0,0,29.3,0,23.8,0,0,24.6,22.4,0,1000,0
0,0,0,0,0,0,23.7,0,19.6,0,0,8.9,47.8,0,25,0
0,0,0,0,0,0,25.7,0,21.2,0,0,7.6,45.4,0,1000,0
0,0,0,0,0,25,25,0,25,0,0,25,0,0,25,1
0,0,0,0,0,25,25,0,25,0,0,25,0,0,1000,1
0,0,0,0,0,20,20,0,20,0,0,20,20,0,25,1
0,0,0,0,0,20,20,0,20,0,0,20,20,0,1000,1
0,0,0,0,0,0,21.4,0,26.3,0,0,25.92,26.38,0,25,0
0,0,0,0,0,0,27.86,9.09,23.75,0,0,16.69,22.61,0,25,0
0,0,0,0,0,0,22.46,24.42,17.99,0,0,15.97,19.16,0,25,0
0,0,0,0,0,0,17.55,29.82,17.54,0,0,17.54,17.55,0,25,0
0,0,0,0,0,0,28.26,0,31.09,0,0,31.37,9.28,0,25,0
0,0,0,0,0,0,24.39,7.74,28.72,0,0,30.15,9.01,0,25,0
0,0,0,0,0,0,37.6,16.84,23.42,0,0,16.71,5.43,0,25,0
0,0,0,0,0,0,26.04,20.41,27.61,0,0,19.71,6.24,0,25,0
0,0,0,0,0,0,21.48,11.03,25.16,0,0,36.87,5.47,0,25,0
0,0,0,0,0,0,28.33,35.84,18.13,0,0,12.74,4.96,0,25,0
0,0,0,0,0,0,21.74,28.26,21.74,0,0,21.74,6.52,0,25,0
0,0,0,0,0,0,25,25,25,0,0,25,0,0,25,0
0,0,0,0,0,0,23.5,23.5,23.5,0,0,23.5,6,0,25,0
0,0,0,0,0,0,22.2,22.2,22.2,0,0,22.2,11.2,0,25,0
0,0,0,0,0,0,21,21,21,0,0,21,16,0,25,0
0,0,0,0,0,0,20,20,20,0,0,20,20,0,25,0
